Gtype,first_engine_agl,first_engine_run_time,first_height_gain_loss
VENTUS 3F,13.0,120.0,908.0
ASW 27-18 E (ASG-29E),1617.0,120.0,391.0
Nimeta,7.0,480.0,2392.0
ASW 27-18 E (ASG-29E),2067.0,120.0,351.0
VENTUS CT,1604.0,120.0,742.0
Nimeta,4.0,600.0,2031.0
Nimeta,7.0,480.0,2388.0
DISCUS-2CT,1365.0,60.0,279.0
ASW 27-18 E (ASG-29E),30.0,1800.0,3451.0
Nimeta,10.0,480.0,2523.0
ASW 27-18 E (ASG-29E),1634.0,60.0,417.0
VENTUS CT,1903.0,120.0,466.0
PIK20E,13.0,120.0,754.0
DISCUS-2CT,889.0,120.0,462.0
ASW 27-18 E (ASG-29E),89.0,7320.0,1161.0
DG-1000T,1552.0,120.0,738.0
Nimeta,7.0,540.0,2405.0
DISCUS-2CT,837.0,60.0,105.0
ASW 27-18 E (ASG-29E),1673.0,60.0,151.0
Nimeta,4.0,660.0,2313.0
DUO DISCUS T,1161.0,60.0,59.0
VENTUS CT,885.0,180.0,315.0
ASW 27-18 E (ASG-29E),1299.0,60.0,623.0
Nimeta,4.0,600.0,2365.0
ASW 27-18 E (ASG-29E),1843.0,60.0,263.0
VENTUS 2CX,2054.0,720.0,370.0
VENTUS CT,850.0,180.0,404.0
DISCUS-2CT,1559.0,60.0,312.0
PIK20E,13.0,120.0,754.0
ASG 32 MI,584.0,120.0,653.0
ASH 31 MI,2094.0,120.0,1831.0
ASH 31 MI,2779.0,60.0,672.0
ASH 31 MI,1516.0,60.0,600.0
LS 10-ST,1548.0,60.0,502.0
ASH 31 MI,834.0,60.0,580.0
ASH 31 MI,1998.0,120.0,1778.0
ASH 31 MI,1253.0,180.0,1240.0
SZD-56-3 DIANA-2 FES,939.0,60.0,1030.0
ASH 31 MI,1368.0,180.0,1466.0
AS 33ES,30.0,180.0,1909.0
AS 33ES,72.0,180.0,1719.0
AS 33ES,68.0,180.0,1624.0
AS 33ES,33.0,180.0,1929.0
AS 33ES,69.0,240.0,1906.0
AS 33ES,56.0,180.0,1473.0
AS 33ES,30.0,240.0,1617.0
VENTUS 3T,40.0,180.0,1903.0
ASH30 NIXUS,1450.0,240.0,1302.0
VENTUS 3T,-15.0,180.0,2034.0
VENTUS 3T,4.0,240.0,1820.0
AS 33ES,63.0,180.0,1906.0
VENTUS 3T,36.0,240.0,1670.0
AS 33ES,33.0,180.0,1936.0
VENTUS 3T,36.0,180.0,1896.0
AS 33ES,7.0,180.0,1775.0
AS 33ES,20.0,120.0,1906.0
AS 33ES,53.0,180.0,1742.0
AS 33ES,33.0,180.0,1637.0
VENTUS 3T,13.0,180.0,1870.0
AS 33ES,30.0,180.0,1922.0
VENTUS 3T,-18.0,120.0,1853.0
