Date (MM/DD/YYYY),File,Gtype,Flight Time,Start Time,End Time,Landing,Start_Alt (ft MSL),Max Altitude (ft MSL/ft AGL),Surface Height (ft MSL),Pressure Altitude (ft MSL),Offset (ft),Sensor Info
08/13/2024,4536-9240051755.igc,ArcusM,3:51:18,183646,222804,HOME,931,7099[6824],284,257,-27,"ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=183646 and: 931 msl [-16 agl]; Height gain/loss is: 2405
ArcusM Motor noise registered by ENL sensor at t=['183647', '184319', '222725', '222726'] and [-16, 2464, 46, 46]AGL"
08/19/2024,4536-9240051836.igc,Twinshark,5:40:05,174617,232622,HOME,938,9028[7490],286,234,-52,"Twinshark's ENL monitor reports Engine Run 4 minutes, starts at T=174617 and: 944 msl [19 agl]; Height gain/loss is: 2071
Twinshark Motor noise registered by ENL sensor at t=['174618', '175109'] and [19, 2149]AGL"
08/23/2024,4536-9241100506.igc,NixusAsh30polar, 6:42:54,181830,010124,HOME,948,8100[7621],289,244,-45,"NixusAsh30polar's ENL monitor reports Engine Run 7 minutes, starts at T=181830 and: 948 msl [10 agl]; Height gain/loss is: 2234
NixusAsh30polar's ENL monitor reports Engine Run 26 minutes, starts at T=1359 and: 2614 msl [508 agl]; Height gain/loss is: 4236
NixusAsh30polar Motor noise registered by ENL sensor at t=['181831', '182542', '001359', '004054'] and [10, 2287, 508, 5545]AGL"
08/28/2024,4536-9239003640.igc,JS-3-18m_MM,4:28:20,174228,221048,HOME,944,6358[5768],288,245,-43,"JS-3-18m_MM's MOP monitor reports Engine Run 9 minutes, starts at T=212413 and: 1433 msl [640 agl]; Height gain/loss is: 1618
JS-3-18m_MM Motor noise registered by MOP sensor at t=['212252', '212257', '212413', '213401'] and [751, 774, 640, 2438]AGL"
08/26/2024,4536-9241100528.igc,JS-1-21m,4:42:20,170440,214700,HOME,931,8179[7100],284,219,-65,"JS-1-21m's MOP monitor reports Engine Run 1 minutes, starts at T=203142 and: 3874 msl [3271 agl]; Height gain/loss is: -115
JS-1-21m's MOP monitor reports Engine Run 7 minutes, starts at T=213457 and: 6030 msl [4666 agl]; Height gain/loss is: -3275
JS-1-21m Motor noise registered by MOP sensor at t=['171836', '171838', '203136', '203300', '210703', '210806', '213426', '214214', '214641'] and [4659, 4649, 3362, 3103, 6187, 6244, 5086, 1778, 92]AGL"
08/12/2024,4536-9240051739.igc,ArcusM,3:55:12,174946,214458,HOME,948,6719[6198],289,255,-34,"ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=174946 and: 954 msl [16 agl]; Height gain/loss is: 1526
ArcusM Motor noise registered by ENL sensor at t=['174947', '175624', '214435', '214441'] and [16, 1631, 92, 118]AGL"
08/28/2024,4536-9239003631.igc,Ventus3M,3:46:53,175046,213739,HOME,944,8274[7645],288,249,-39,"Ventus3M's ENL monitor reports Engine Run 15 minutes, starts at T=204332 and: 1384 msl [768 agl]; Height gain/loss is: 6765
Ventus3M's ENL monitor reports Engine Run 1 minutes, starts at T=211913 and: 5498 msl [4892 agl]; Height gain/loss is: 482
Ventus3M Motor noise registered by ENL sensor at t=['204332', '205911', '211913', '212027'] and [768, 7549, 4892, 5351]AGL"
08/28/2024,4536-9239003651.igc,JS-3-18m,3:27:01,180250,212951,HOME,931,6309[5738],284,246,-38,"JS-3-18m's MOP monitor reports Engine Run 17 minutes, starts at T=203214 and: 1377 msl [757 agl]; Height gain/loss is: 2730
JS-3-18m Motor noise registered by MOP sensor at t=['203214', '204923'] and [757, 3553]AGL"
08/22/2024,4536-9239003492.igc,JS-3-18m,5:45:18,180614,235132,HOME,908,12391[10190],277,260,-17,"JS-3-18m's MOP monitor reports Engine Run 6 minutes, starts at T=180614 and: 912 msl [4 agl]; Height gain/loss is: 1509
JS-3-18m Motor noise registered by ENL sensor at t=['180615', '180629', '181054', '181057', '181211', '181216', '181219', '181232', '181307', '181309'] and [0, 19, 1021, 1010, 1348, 1369, 1388, 1441, 1545, 1542]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['180615', '181313'] and [0, 1552]AGL"
08/19/2024,4536-9241100437.igc,EB29R,5:16:08,181205,232813,HOME,938,9422[7683],286,240,-46,"EB29R's ENL monitor reports Engine Run 4 minutes, starts at T=181219 and: 1007 msl [76 agl]; Height gain/loss is: 1955
EB29R Motor noise registered by ENL sensor at t=['181219', '181623'] and [76, 2087]AGL"
08/20/2024,4536-9241100455.igc,NixusAsh30polar, 5:25:02,190652,003154,HOME,925,7693[6857],282,244,-38,"NixusAsh30polar's ENL monitor reports Engine Run 6 minutes, starts at T=190652 and: 921 msl [-9 agl]; Height gain/loss is: 1887
NixusAsh30polar Motor noise registered by ENL sensor at t=['190653', '191306', '191504', '191509'] and [-9, 1936, 1700, 1693]AGL"
08/23/2024,4536-9241100505.igc,EB29R, 5:50:16,182043,001059,HOME,931,10082[8170],284,244,-40,"EB29R's ENL monitor reports Engine Run 5 minutes, starts at T=182045 and: 931 msl [-6 agl]; Height gain/loss is: 1969
EB29R Motor noise registered by ENL sensor at t=['182045', '182607'] and [-6, 1962]AGL"
08/30/2024,4536-9240051992.igc,ArcusM,4:52:17,180020,225237,HOME,938,7175[6710],286,254,-32,"ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=180020 and: 935 msl [10 agl]; Height gain/loss is: 2070
ArcusM Motor noise registered by ENL sensor at t=['180021', '180629', '225206', '225213'] and [10, 2149, 95, 101]AGL"
08/21/2024,4536-9241100475.igc,JS-5, 4:58:39,194802,004641,HOME,948,12011[9892],289,274,-15,"JS-5's MOP monitor reports Engine Run 6 minutes, starts at T=1903 and: 5488 msl [4947 agl]; Height gain/loss is: 414
JS-5 Motor noise registered by ENL sensor at t=['004613', '004614'] and [82, 82]AGL
JS-5 Motor noise registered by MOP sensor at t=['001903', '002535'] and [4947, 5296]AGL"
08/28/2024,4536-9239003654.igc,18m_N369QT_JS-3,4:10:18,180210,221228,HOME,931,6328[5728],284,246,-38,"18m_N369QT_JS-3's MOP monitor reports Engine Run 7 minutes, starts at T=203015 and: 1095 msl [436 agl]; Height gain/loss is: 1457
18m_N369QT_JS-3's MOP monitor reports Engine Run 7 minutes, starts at T=204257 and: 2644 msl [1847 agl]; Height gain/loss is: 587
18m_N369QT_JS-3's MOP monitor reports Engine Run 2 minutes, starts at T=205537 and: 2119 msl [1289 agl]; Height gain/loss is: 259
18m_N369QT_JS-3's MOP monitor reports Engine Run 1 minutes, starts at T=205825 and: 2375 msl [1542 agl]; Height gain/loss is: -7
18m_N369QT_JS-3 Motor noise registered by ENL sensor at t=['180503', '180504', '181223', '181225'] and [1109, 1125, 2844, 2808]AGL
18m_N369QT_JS-3 Motor noise registered by MOP sensor at t=['203015', '203726', '204257', '205054', '205537', '205820', '205825', '205938', '221223', '221227'] and [436, 1759, 1847, 2424, 1289, 1548, 1542, 1542, 53, 53]AGL"
08/20/2024,4536-9240051846.igc,ArcusM, 5:04:16,194403,004819,HOME,931,9396[7077],284,255,-29,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=194403 and: 928 msl [-19 agl]; Height gain/loss is: 1650
ArcusM's ENL monitor reports Engine Run 14 minutes, starts at T=1056 and: 1404 msl [883 agl]; Height gain/loss is: 4741
ArcusM Motor noise registered by ENL sensor at t=['194404', '194929', '001056', '002540'] and [-22, 1706, 883, 5493]AGL"
08/12/2024,4536-9240051743.igc,ArcusM,3:19:35,183306,215241,HOME,931,7106[6559],284,236,-48,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=183306 and: 935 msl [-5 agl]; Height gain/loss is: 1663
ArcusM Motor noise registered by ENL sensor at t=['183307', '183806'] and [-2, 1696]AGL"
08/18/2024,4536-9240051820.igc,Twinshark,5:21:48,183348,235536,HOME,948,8923[6860],289,251,-38,"Twinshark's ENL monitor reports Engine Run 6 minutes, starts at T=183348 and: 951 msl [13 agl]; Height gain/loss is: 2146
Twinshark Motor noise registered by ENL sensor at t=['183349', '183958', '195656', '195657', '203348', '203349'] and [10, 2182, 5722, 5722, 3513, 3507]AGL"
08/28/2024,4536-9240051958.igc,ArcusM,2:44:54,174105,202559,LOUT,938,6046[5591],286,243,-43,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=174105 and: 931 msl [6 agl]; Height gain/loss is: 1654
ArcusM's ENL monitor reports Engine Run 8 minutes, starts at T=195152 and: 1397 msl [617 agl]; Height gain/loss is: 2572
ArcusM Motor noise registered by ENL sensor at t=['174106', '174644', '195152', '200022'] and [3, 1736, 617, 3274]AGL"
08/20/2024,4536-9240051855.igc,ArcusM, 5:30:45,193524,010609,HOME,948,10121[8904],289,230,-59,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=193524 and: 951 msl [13 agl]; Height gain/loss is: 1778
ArcusM's ENL monitor reports Engine Run 4 minutes, starts at T=194650 and: 1377 msl [459 agl]; Height gain/loss is: 1365
ArcusM's ENL monitor reports Engine Run 19 minutes, starts at T=2144 and: 2030 msl [1653 agl]; Height gain/loss is: 7412
ArcusM's ENL monitor reports Engine Run 1 minutes, starts at T=5120 and: 6735 msl [5925 agl]; Height gain/loss is: -479
ArcusM's ENL monitor reports Engine Run 2 minutes, starts at T=5238 and: 6213 msl [5429 agl]; Height gain/loss is: -1256
ArcusM Motor noise registered by ENL sensor at t=['193525', '194103', '194650', '195133', '002144', '004126', '005009', '005015', '005120', '005231', '005238', '005534', '005538', '005544', '005553', '005615'] and [13, 1854, 459, 1857, 1653, 8891, 6312, 6282, 5925, 5466, 5429, 4134, 4131, 4061, 3993, 3905]AGL"
08/20/2024,4536-9239003413.igc,JS-3-18m, 4:51:45,194103,003248,HOME,931,9156[7674],284,245,-39,"JS-3-18m's MOP monitor reports Engine Run 2 minutes, starts at T=194109 and: 892 msl [-15 agl]; Height gain/loss is: 1296
JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=3055 and: 1561 msl [626 agl]; Height gain/loss is: -584
JS-3-18m Motor noise registered by ENL sensor at t=['003212', '003213'] and [53, 49]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['194105', '194333', '003045'] and [-31, 1296, 673]AGL"
08/23/2024,4536-9239003519.igc,JS-3-18m, 6:35:33,180151,003724,HOME,944,7788[7208],288,247,-41,"JS-3-18m's RPM monitor reports Engine Run 214 minutes, starts at T=184216 and: 4911 msl [4081 agl]; Height gain/loss is: -2421"
08/12/2024,4536-9239003198.igc,JS-3-18m,3:46:45,180624,215309,HOME,944,7004[6503],288,254,-34,"JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=181314 and: 4012 msl [3173 agl]; Height gain/loss is: -39
JS-3-18m Motor noise registered by MOP sensor at t=['181240', '181246', '181314', '181415'] and [3153, 3130, 3173, 3084]AGL"
08/21/2024,4536-9239003444.igc,JS-3-18m, 5:04:33,190350,000823,HOME,931,12470[10197],284,260,-24,"JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=235432 and: 7201 msl [5276 agl]; Height gain/loss is: -712
JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=235538 and: 6453 msl [4695 agl]; Height gain/loss is: -968
JS-3-18m Motor noise registered by MOP sensor at t=['205920', '205934', '215916', '215934', '220243', '220246', '220251', '220300', '220416', '220427', '220517', '220525', '233908', '233912', '234700', '234704', '235331', '235334', '235337', '235412', '235432', '235535', '235538', '235737', '235740', '000234', '000236', '000253', '000319', '000348', '000358', '000403', '000750', '000803'] and [4511, 4498, 6909, 6857, 7126, 7097, 7070, 7073, 6661, 6587, 5984, 5967, 9911, 9924, 7605, 7634, 5469, 5482, 5555, 5657, 5276, 4705, 4695, 4042, 4032, 1496, 1473, 1454, 1424, 1388, 1325, 1332, 111, 72]AGL"
08/13/2024,4536-9240051756.igc,HpHTwinshark,4:18:07,183727,225534,HOME,931,7349[6945],284,251,-33,"HpHTwinshark's ENL monitor reports Engine Run 7 minutes, starts at T=183734 and: 938 msl [0 agl]; Height gain/loss is: 2103
HpHTwinshark Motor noise registered by ENL sensor at t=['183734', '184503'] and [0, 2159]AGL"
08/21/2024,4536-9240051872.igc,ArcusM, 4:33:49,194607,001956,HOME,941,13589[11266],287,247,-40,"ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=194607 and: 931 msl [6 agl]; Height gain/loss is: 2054
ArcusM Motor noise registered by ENL sensor at t=['194609', '195237'] and [6, 2119]AGL"
08/19/2024,4536-9240051834.igc,ArcusM,6:12:46,174203,235449,HOME,938,9097[7592],286,244,-42,"ArcusM's ENL monitor reports Engine Run 4 minutes, starts at T=174203 and: 941 msl [10 agl]; Height gain/loss is: 2021
ArcusM Motor noise registered by ENL sensor at t=['174204', '174657', '235433', '235435', '235436', '235438'] and [10, 2103, 82, 79, 82, 86]AGL"
08/18/2024,4536-9240051823.igc,ArcusM,4:58:06,184711,234517,HOME,931,8228[7090],284,234,-50,"ArcusM's ENL monitor reports Engine Run 4 minutes, starts at T=184711 and: 931 msl [-16 agl]; Height gain/loss is: 1828
ArcusM Motor noise registered by ENL sensor at t=['184712', '185151'] and [-16, 1887]AGL"
08/26/2024,4536-9239003575.igc,AS33Es18m,4:30:14,171842,214856,HOME,931,8526[7444],284,224,-60,"AS33Es18m's ENL monitor reports Engine Run 3 minutes, starts at T=171842 and: 974 msl [30 agl]; Height gain/loss is: 1909
AS33Es18m Motor noise registered by ENL sensor at t=['171843', '172208', '214826', '214827'] and [30, 1912, 114, 108]AGL"
