File,Time,Latitude,Longitude,Altitude,ENL,terrain_elev_at_first_engine_event (ft),dynamic_AGL_at_first_engine_event (ft),Terrain_EPQS,Terrain_DIFF
23DVALM1.igc,214425,28.15285,-81.9439,148,2,129.1,651.74,128.84211764656968,0.2578823534303183
17TV6TG1.igc,175846,30.202183333333334,-95.96296666666667,38,0,286.7,-89.85,288.16239085177364,-1.4623908517736481
938V1KO1.igc,212208,28.423266666666667,-81.83186666666667,391,4,126.77,1444.75,113.6555169899948,13.114483010005202
13EVAAW2.igc,170657,28.4033,-81.83783333333334,-48,0,110.43,-100.59,111.43277993067825,-1.0027799306782441
23DV7EO1.igc,192232,28.40285,-81.83776666666667,-108,0,110.34,-93.93,111.38125398086667,-1.0412539808666708
35FVQ8L1.igc,190959,41.07865,-77.45198333333333,305,3,757.73,361.03,745.7862552004613,11.943744799538763
16HVA9T1.igc,190154,41.59455,-74.46286666666667,150,1,543.44,-110.37,548.0226306600831,-4.582630660083055
16DVABZ1.igc,200813,41.779066666666665,-122.46871666666667,803,7,2636.18,-73.84,2645.4213505819584,-9.241350581958613
73FVJD21.igc,173957,28.4047,-81.8377,-41,0,112.4,-20.54,112.72097870549639,-0.32097870549638685
73GV6TG1.igc,170757,28.40505,-81.83773333333333,-96,0,112.58,2.25,113.15021977238172,-0.5702197723817193
988VA971.igc,183832,29.216216666666668,-99.7462,291,2,936.33,-1.29,938.8450862930417,-2.5150862930416906
2024-06-17-NAV-180741-01.igc,201012,32.768366666666665,-103.21105,1196,11,3690.4,-35.55,3690.843274737558,-0.443274737558113
13FVAAW2.igc,170012,28.403533333333332,-81.83781666666667,-37,0,110.56,-100.71,111.50046327273913,-0.9404632727391231
17UVAGO1.igc,171308,30.2027,-95.96295,29,0,288.04,-91.19,287.92692590329386,0.11307409670615698
439z5ay1.igc,171208,28.404083333333332,-81.8377,-41,0,110.97,20.27,111.62787016329908,-0.65787016329908
839V6TG1.igc,175644,28.404916666666665,-81.83768333333333,-40,0,112.49,-7.5,113.07518987824848,-0.5851898782484852
55MV0XL1.igc,174942,43.659666666666666,-93.35095,647,7,1255.94,1191.56,1248.343600275078,7.596399724922094
463VAUO1.igc,182234,31.997666666666667,-83.74593333333334,424,4,316.69,1107.19,317.98343724896046,-1.2934372489604584
674V1JO1.igc,161857,43.34518333333333,-72.51533333333333,165,1,559.12,24.87,562.475527841736,-3.355527841736034
13CC4A41.igc,190441,28.537483333333334,-81.9148,729,8,101.07,2625.3,102.04373083101608,-0.9737308310160842
13EC4A41.igc,171749,28.410216666666667,-81.86278333333334,1062,11,107.13,3738.02,106.96127375412549,0.16872624587450957
2023-08-05-XNA-150763-01.igc,222843,30.2601,-95.98816666666667,370,3,279.63,967.09,274.02748524197636,5.602514758023631
93DV7CD1.igc,211949,28.007083333333334,-81.54955,153,2,103.94,680.18,85.02457357708548,18.91542642291452
177VAAW1.igc,184037,39.74245,-111.87008333333333,1467,15,4990.32,-52.66,4993.05801149373,-2.7380114937304825
