"","Unnamed: 0","index","Date (MM/DD/YYYY)","File","Gtype","Flight Time","Start Time","End Time","Landing","Start_Alt (ft MSL)","Max Altitude (ft MSL/ft AGL)","Surface Height (ft MSL)","Pressure Altitude (ft MSL)","Offset (ft)","Sensor Info","ENL_Engine_Run_Start_Times","MOP_Engine_Run_Start_Times","RPM_Engine_Run_Start_Times","ENL_Engine_Run_Altitudes_MSL","MOP_Engine_Run_Altitudes_MSL","RPM_Engine_Run_Altitudes_MSL","ENL_Engine_Run_Altitudes_AGL","MOP_Engine_Run_Altitudes_AGL","RPM_Engine_Run_Altitudes_AGL","ENL_Noise_Registration_Times","MOP_Noise_Registration_Times","RPM_Noise_Registration_Times","ENL_Noise_Registration_Altitudes_AGL","MOP_Noise_Registration_Altitudes_AGL","RPM_Noise_Registration_Altitudes_AGL","first_event_time","event_type","event_sensor","first_event_datetime","flight_start_datetime","window_start","window_end","engine_run_agls","altitude_rate_pre_event_window (ft/s)","distance_traveled_during_window (miles)","is_circling_during_pre_event_window","terrain_elev_at_engine_run (ft)","terrain_label_at_engine_run","Engine_Start_Above_1000ft","engine_run_times (s)","height_gain_loss (ft)","avg_speed_while_engine_running (knots)","min_speed_while_engine_running (knots)","max_speed_while_engine_running (knots)","All_Min_TAS_knots","All_Max_TAS_knots","All_Avg_TAS_knots","All_Post_Run_Min_TAS_knots","All_Post_Run_Max_TAS_knots","All_Post_Run_Avg_TAS_knots","Circling_Segment_Found","Min_Speed_While_Engine_Running_knots","Max_Speed_While_Engine_Running_knots","Avg_Speed_While_Engine_Running_knots","max_noise_ENL","max_noise_MOP","max_noise_RPM","Engine_Run_Start_Times","time_difference","Engine_Event_LessThan_5min_into_flight","Height_Gain_Indicator","All_Gain_For_Flight_Ind","Height_Loss_Indicator","All_Loss_For_Flight_Ind","Blue_Line_Speed_Success_Ind","successful_start"
"0","0","13","08/18/2020","2020-08-18-CNI-20Y-01.IGC","ASW 27-18 E (ASG-29E)","3:37:01","16:44:59","202200","HOME","652","7208[5847]","199","215","16","ASG29E.'s ENL monitor reports Engine Run 3 minutes, starts at T=165704 and: 1410 msl [656 agl]; Height gain/loss is: 1368
ASG29E. Motor noise registered by ENL sensor at t=['165704', '170029'] and [656, 1830]AGL","165704.0","","","1410.0","","","656.0","","","165704.0","","","656.0","","","16:57:04","Engine_Run_Start","ENL","2020-08-18 16:57:04","1900-01-01 16:44:59","2020-08-18 16:52:04","2020-08-18 16:57:04","656.0","-0.9366666666666666","5.448886282964505","False","772.6464806646728","Closed Forest","False","180","1368","","","","45.4","94.9","69.3","45.4","81.7","65.1","True","","","","999.0","","","16:57:04","00:12:05","0","1","1","0","0","1","1"
"1","1","15","06/27/2024","46RGJUM1.IGC","VENTUS 3F","3:42:29","19:37:03","231932","HOME","3713","11335[8058]","1132","1103","-29","Ventus-3FES's ENL monitor reports Engine Run 2 minutes, starts at T=193703 and: 3717 msl [13 agl]; Height gain/loss is: 908
Ventus-3FES Motor noise registered by ENL sensor at t=['193704', '193939', '231923'] and [13, 951, 102]AGL","193703.0","","","3717.0","","","13.0","","","193704.0","","","13.0","","","19:37:03","Engine_Run_Start","ENL","2024-06-27 19:37:03","1900-01-01 19:37:03","2024-06-27 19:32:03","2024-06-27 19:37:03","13.0","0.0062893081761006","0.0717319000276837","False","3695.718478022461","Herbaceous vegetation","False","120","908","","","","45.0","91.7","54.6","45.4","94.3","78.7","True","","","","921.0","","","19:37:03","00:00:00","1","1","1","0","0","1","0"
"2","2","24","06/29/2018","2018-06-29-NKL-10Q-01.IGC","ASW 27-18 E (ASG-29E)","3:18:46","18:38:35","215721","HOME","301","4576[4373]","92","78","-14","ASG29E's ENL monitor reports Engine Run 1 minutes, starts at T=184738 and: 1630 msl [1335 agl]; Height gain/loss is: 233
ASG29E Motor noise registered by ENL sensor at t=['184738', '184841'] and [1335, 1565]AGL","184738.0","","","1630.0","","","1335.0","","","184738.0","","","1335.0","","","18:47:38","Engine_Run_Start","ENL","2018-06-29 18:47:38","1900-01-01 18:38:35","2018-06-29 18:42:38","2018-06-29 18:47:38","1335.0","-0.7866666666666666","5.75225173751222","False","291.9629708551025","Herbaceous vegetation","True","60","233","","","","53.0","79.8","58.6","45.8","70.0","57.5","True","","","","999.0","","","18:47:38","00:09:03","0","1","1","0","0","1","1"
"3","3","25","06/09/2018","2018-06-09-CNI-20E-01.IGC","ASW 27-18 E (ASG-29E)","2:39:52","19:31:32","221124","HOME","1578","5885[4203]","481","488","7","ASG29's ENL monitor reports Engine Run 2 minutes, starts at T=202616 and: 2444 msl [830 agl]; Height gain/loss is: 941
ASG29's ENL monitor reports Engine Run 4 minutes, starts at T=203056 and: 2939 msl [1306 agl]; Height gain/loss is: 555
ASG29 Motor noise registered by ENL sensor at t=['195940', '195956', '202616', '202836', '203056', '203500'] and [2024, 2146, 830, 1735, 1306, 1923]AGL","202616.0","","","2444.0","","","830.0","","","195940.0","","","2024.0","","","20:26:16","Engine_Run_Start","ENL","2018-06-09 20:26:16","1900-01-01 19:31:32","2018-06-09 20:21:16","2018-06-09 20:26:16","830.0","-0.6933333333333334","4.463127839070065","False","1574.4498649060058","Open Forest","False","120","941","","","","47.8","72.8","57.6","45.6","71.6","59.1","False","","","","999.0","","","20:26:16","00:54:44","0","1","1","0","0","1","1"
"4","4","25","06/09/2018","2018-06-09-CNI-20E-01.IGC","ASW 27-18 E (ASG-29E)","2:39:52","19:31:32","221124","HOME","1578","5885[4203]","481","488","7","ASG29's ENL monitor reports Engine Run 2 minutes, starts at T=202616 and: 2444 msl [830 agl]; Height gain/loss is: 941
ASG29's ENL monitor reports Engine Run 4 minutes, starts at T=203056 and: 2939 msl [1306 agl]; Height gain/loss is: 555
ASG29 Motor noise registered by ENL sensor at t=['195940', '195956', '202616', '202836', '203056', '203500'] and [2024, 2146, 830, 1735, 1306, 1923]AGL","203056.0","","","2939.0","","","1306.0","","","195956.0","","","2146.0","","","20:26:16","Engine_Run_Start","ENL","2018-06-09 20:26:16","1900-01-01 19:31:32","2018-06-09 20:21:16","2018-06-09 20:26:16","1306.0","0.2666666666666666","5.358018263441912","False","1609.065790678711","Other","True","240","555","","","","45.6","83.5","62.6","45.0","73.8","60.6","False","","","","999.0","","","20:30:56","00:59:24","0","1","1","0","0","1","1"
"5","5","28","06/04/2023","2023-06-04-LXV-NBR-01.IGC","VENTUS 3F","4:13:53","17:07:46","212139","HOME","301","5698[5318]","92","105","13","Ventus3FES's MOP monitor reports Engine Run 1 minutes, starts at T=171756 and: 4055 msl [3737 agl]; Height gain/loss is: -132
Ventus3FES Motor noise registered by ENL sensor at t=['171829', '171830'] and [3704, 3704]AGL
Ventus3FES Motor noise registered by MOP sensor at t=['171747', '171904'] and [3770, 3599]AGL","","171756.0","","","4055.0","","","3737.0","","171829.0","171747.0","","3704.0","3770.0","","17:17:56","Engine_Run_Start","MOP","2023-06-04 17:17:56","1900-01-01 17:07:46","2023-06-04 17:12:56","2023-06-04 17:17:56","3737.0","1.403333333333333","6.031294805978373","True","334.5177724957275","Agriculture","True","60","-132","73.52","63.16","83.13","45.0","94.3","57.0","46.9","94.9","80.7","True","63.16","83.13","73.52","","609.0","","17:17:56","00:10:10","0","0","0","1","1","1","0"
"6","6","32","08/18/2018","2018-08-18-CNI-232-01.IGC","ASH 31 MI","5:14:00","18:03:40","231740","HOME","938","8805[8389]","286","270","-16","ASH31mi18's ENL monitor reports Engine Run 11 minutes, starts at T=180340 and: 938 msl [23 agl]; Height gain/loss is: 2467
ASH31mi18's ENL monitor reports Engine Run 11 minutes, starts at T=223420 and: 1394 msl [873 agl]; Height gain/loss is: 2684
ASH31mi18 Motor noise registered by ENL sensor at t=['180344', '181508', '223420', '224540'] and [20, 2526, 873, 3445]AGL","180340.0","","","938.0","","","23.0","","","180344.0","","","20.0","","","22:34:20","Engine_Run_Start","ENL","2018-08-18 22:34:20","1900-01-01 18:03:40","2018-08-18 22:29:20","2018-08-18 22:34:20","23.0","0.0","0.1011652387302636","False","930.7828585290528","Shrubs","False","660","2467","","","","49.4","91.8","64.4","53.8","83.0","68.5","True","","","","999.0","","","18:03:40","00:00:00","1","1","1","0","0","1","0"
"7","7","32","08/18/2018","2018-08-18-CNI-232-01.IGC","ASH 31 MI","5:14:00","18:03:40","231740","HOME","938","8805[8389]","286","270","-16","ASH31mi18's ENL monitor reports Engine Run 11 minutes, starts at T=180340 and: 938 msl [23 agl]; Height gain/loss is: 2467
ASH31mi18's ENL monitor reports Engine Run 11 minutes, starts at T=223420 and: 1394 msl [873 agl]; Height gain/loss is: 2684
ASH31mi18 Motor noise registered by ENL sensor at t=['180344', '181508', '223420', '224540'] and [20, 2526, 873, 3445]AGL","223420.0","","","1394.0","","","873.0","","","181508.0","","","2526.0","","","22:34:20","Engine_Run_Start","ENL","2018-08-18 22:34:20","1900-01-01 18:03:40","2018-08-18 22:29:20","2018-08-18 22:34:20","873.0","-0.82","7.357226278160366","False","510.19925526123046","Shrubs","False","660","2684","","","","56.9","80.4","66.4","51.0","78.8","63.5","True","","","","999.0","","","22:34:20","04:30:40","0","1","1","0","0","1","1"
"8","8","43","03/14/2020","03EGIQO1.IGC","SZD-56-3 DIANA-2 FES","4:07:39","17:03:31","211110","HOME","144","5682[5603]","44","-78","-122","Diana2's ENL monitor reports Engine Run 1 minutes, starts at T=210805 and: 731 msl [577 agl]; Height gain/loss is: 122
Diana2 Motor noise registered by ENL sensor at t=['170332', '170345', '210805', '210936', '211051', '211107'] and [26, 53, 577, 729, 86, 86]AGL","210805.0","","","731.0","","","577.0","","","170332.0","","","26.0","","","21:08:05","Engine_Run_Start","ENL","2020-03-14 21:08:05","1900-01-01 17:03:31","2020-03-14 21:03:05","2020-03-14 21:08:05","577.0","-0.8933333333333333","5.558330022169933","False","156.53685822875977","Closed Forest","False","60","122","","","","47.1","61.6","52.5","46.2","80.0","67.2","True","","","","999.0","","","21:08:05","04:04:34","0","1","1","0","0","1","1"
"9","9","48","08/04/2024","2024-08-04-CNI-29F-01.IGC","AS 33ES","3:33:16","16:48:35","202151","HOME","1712","5980[4872]","522","505","-17","as33's ENL monitor reports Engine Run 1 minutes, starts at T=165847 and: 3704 msl [2136 agl]; Height gain/loss is: 108
as33 Motor noise registered by ENL sensor at t=['165847', '170039'] and [2136, 2054]AGL","165847.0","","","3704.0","","","2136.0","","","165847.0","","","2136.0","","","16:58:47","Engine_Run_Start","ENL","2024-08-04 16:58:47","1900-01-01 16:48:35","2024-08-04 16:53:47","2024-08-04 16:58:47","2136.0","0.07","5.4686949740998925","True","1572.061523922119","Open Forest","True","60","108","","","","48.9","65.3","57.1","47.3","70.7","60.2","True","","","","999.0","","","16:58:47","00:10:12","0","1","1","0","0","1","1"
"10","10","50","05/22/2014","2014-05-22-NKL-10R-01.IGC","DISCUS-2CT","2:06:56","17:45:39","195235","HOME","803","6751[5876]","245","278","33","Discus2ct's ENL monitor reports Engine Run 4 minutes, starts at T=192935 and: 2417 msl [1151 agl]; Height gain/loss is: 712
Discus2ct Motor noise registered by ENL sensor at t=['174935', '175003', '192935', '193431'] and [456, 489, 1151, 1942]AGL","192935.0","","","2417.0","","","1151.0","","","174935.0","","","456.0","","","19:29:35","Engine_Run_Start","ENL","2014-05-22 19:29:35","1900-01-01 17:45:39","2014-05-22 19:24:35","2014-05-22 19:29:35","1151.0","-0.4733333333333333","6.141103828340458","False","1266.4326750146483","Closed Forest","True","240","712","","","","77.3","90.3","85.5","55.0","87.1","80.4","True","","","","999.0","","","19:29:35","01:43:56","0","1","1","0","0","0","1"
"11","11","54","04/25/2013","2013-04-25-NKL-10Q-01.IGC","ASW 27-18 E (ASG-29E)","2:16:20","19:14:26","213046","HOME","423","6256[5866]","129","62","-67","ASG29's ENL monitor reports Engine Run 2 minutes, starts at T=191814 and: 2011 msl [1532 agl]; Height gain/loss is: 469
ASG29 Motor noise registered by ENL sensor at t=['191814', '192054'] and [1532, 2011]AGL","191814.0","","","2011.0","","","1532.0","","","191814.0","","","1532.0","","","19:18:14","Engine_Run_Start","ENL","2013-04-25 19:18:14","1900-01-01 19:14:26","2013-04-25 19:13:14","2013-04-25 19:18:14","1532.0","1.6133333333333333","4.765057043862587","False","469.8022607269287","Closed Forest","True","120","469","","","","50.3","61.6","56.3","48.5","76.4","61.3","False","","","","999.0","","","19:18:14","00:03:48","1","1","1","0","0","1","0"
