index,Date (MM/DD/YYYY),File,Gtype,Flight Time,Start Time,End Time,Landing,Start_Alt (ft MSL),Max Altitude (ft MSL/ft AGL),Surface Height (ft MSL),Pressure Altitude (ft MSL),Offset (ft),Sensor Info,ENL_Engine_Run_Start_Times,MOP_Engine_Run_Start_Times,RPM_Engine_Run_Start_Times,ENL_Engine_Run_Altitudes_MSL,MOP_Engine_Run_Altitudes_MSL,RPM_Engine_Run_Altitudes_MSL,ENL_Engine_Run_Altitudes_AGL,MOP_Engine_Run_Altitudes_AGL,RPM_Engine_Run_Altitudes_AGL,ENL_Noise_Registration_Times,MOP_Noise_Registration_Times,RPM_Noise_Registration_Times,ENL_Noise_Registration_Altitudes_AGL,MOP_Noise_Registration_Altitudes_AGL,RPM_Noise_Registration_Altitudes_AGL,first_event_time,event_type,event_sensor,flight_start_datetime,window_start,window_end,altitude rate of change during pre-event window(ft/s),steady_descent_during_pre_event_window,is_circling_during_pre_event_window,distance_traveled_during_window (miles),terrain_label_at_first_engine_event,avg_speed_while_engine_running (knots),min_speed_while_engine_running (knots),max_speed_while_engine_running (knots),engine_run_times (s),height_gain_loss (ft),terrain_elev_at_first_engine_event (ft),first_engine_agl,Engine_Start_Above_1000ft,agl_all_events,first_event_datetime,num_engine_starts_below_1000ft_Alt,pct_engine_starts_below_1000ft_Alt,All_Min_TAS_knots,All_Max_TAS_knots,All_Avg_TAS_knots,All_Post_Run_Min_TAS_knots,All_Post_Run_Max_TAS_knots,All_Post_Run_Avg_TAS_knots,Circling_Segment_Found,Min_Speed_While_Engine_Running_knots,Max_Speed_While_Engine_Running_knots,Avg_Speed_While_Engine_Running_knots,altitude_gain_indicator,altitude_gain_during_all_events_indicator,altitude_loss_during_all_events_indicator,count_of_events_with_altitude_gain,count_of_events_with_altitude_loss
13,08/18/2020,2020-08-18-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),3:37:01,164459,202200,HOME,652,7208[5847],199,215,16,"ASG29E.'s ENL monitor reports Engine Run 3 minutes, starts at T=165705 and: 1420 msl [666 agl]; Height gain/loss is: 1358
ASG29E. Motor noise registered by ENL sensor at t=['165704', '170029'] and [656, 1830]AGL",165705,,,1420,,,666.0,,,"165704,170029",,,"656.00,1830.00",,,165705,Engine_Run_Start,ENL,1900-01-01 16:44:59,2020-08-18 16:52:05,2020-08-18 16:57:05,-0.92,Changing,False,5.467388160734497,"Closed Forest, Deciduous Broadleaf",,,,180,1358,802.42,666.0,False,666.0,2020-08-18 16:57:05,1,100.0,45.4,94.9,69.3,45.4,81.7,65.1,True,,,,True,1,0,1,0
15,06/27/2024,46RGJUM1.IGC,VENTUS 3F,3:42:29,193703,231932,HOME,3713,11335[8058],1132,1103,-29,"Ventus-3FES's ENL monitor reports Engine Run 2 minutes, starts at T=193703 and: 3717 msl [13 agl]; Height gain/loss is: 908
Ventus-3FES Motor noise registered by ENL sensor at t=['193704', '193939', '231923'] and [13, 951, 102]AGL",193703,,,3717,,,13.0,,,"193704,193939,231923",,,"13.00,951.00,102.00",,,193703,Engine_Run_Start,ENL,1900-01-01 19:37:03,2024-06-27 19:32:03,2024-06-27 19:37:03,0.01,Changing,False,0.0717319000276837,Herbaceous vegetation,,,,120,908,3695.72,13.0,False,13.0,2024-06-27 19:37:03,1,100.0,45.0,91.7,54.6,45.4,94.3,78.7,True,,,,True,1,0,1,0
24,06/29/2018,2018-06-29-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),3:18:46,183835,215721,HOME,301,4576[4373],92,78,-14,"ASG29E's ENL monitor reports Engine Run 1 minutes, starts at T=184738 and: 1630 msl [1335 agl]; Height gain/loss is: 233
ASG29E Motor noise registered by ENL sensor at t=['184738', '184841'] and [1335, 1565]AGL",184738,,,1630,,,1335.0,,,"184738,184841",,,"1335.00,1565.00",,,184738,Engine_Run_Start,ENL,1900-01-01 18:38:35,2018-06-29 18:42:38,2018-06-29 18:47:38,-0.79,Changing,False,5.75225173751222,Herbaceous vegetation,,,,60,233,291.96,1335.0,True,1335.0,2018-06-29 18:47:38,0,0.0,53.0,79.8,58.6,45.8,70.0,57.5,True,,,,True,1,0,1,0
25,06/09/2018,2018-06-09-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),2:39:52,193132,221124,HOME,1578,5885[4203],481,488,7,"ASG29's ENL monitor reports Engine Run 2 minutes, starts at T=202616 and: 2444 msl [830 agl]; Height gain/loss is: 941
ASG29's ENL monitor reports Engine Run 4 minutes, starts at T=203056 and: 2939 msl [1306 agl]; Height gain/loss is: 555
ASG29 Motor noise registered by ENL sensor at t=['195940', '195956', '202616', '202836', '203056', '203500'] and [2024, 2146, 830, 1735, 1306, 1923]AGL","202616,203056",,,"2444,2939",,,"830.0,1306.0",,,"195940,195956,202616,202836,203056,203500",,,"2024.00,2146.00,830.00,1735.00,1306.00,1923.00",,,202616,Engine_Run_Start,ENL,1900-01-01 19:31:32,2018-06-09 20:21:16,2018-06-09 20:26:16,-0.69,Changing,False,4.463127839070065,"Open Forest, Other",,,,"120, 240","941, 555",1574.45,830.0,False,"830.0,1306.0",2018-06-09 20:26:16,1,50.0,"47.8,45.6","72.8,83.5","57.6,62.6","45.6,45.0","71.6,73.8","59.1,60.6",False,,,,"True,True",1,0,2,0
28,06/04/2023,2023-06-04-LXV-NBR-01.IGC,VENTUS 3F,4:13:53,170746,212139,HOME,301,5698[5318],92,105,13,"Ventus3FES's MOP monitor reports Engine Run 1 minutes, starts at T=171802 and: 4035 msl [3714 agl]; Height gain/loss is: -112
Ventus3FES Motor noise registered by ENL sensor at t=['171829', '171830'] and [3704, 3704]AGL
Ventus3FES Motor noise registered by MOP sensor at t=['171747', '171904'] and [3770, 3599]AGL",,171802,,,4035,,,3714.0,,"171829,171830","171747,171904",,"3704.00,3704.00","3770.0,3599.0",,171802,Engine_Run_Start,MOP,1900-01-01 17:07:46,2023-06-04 17:13:02,2023-06-04 17:18:02,1.32,Changing,True,5.999894172432325,Agriculture,75.09,64.16,83.13,60,-112,310.35,3714.0,True,3714.0,2023-06-04 17:18:02,0,0.0,45.0,94.3,57.4,46.9,94.9,80.7,True,64.16,83.13,75.09,False,0,1,0,1
32,08/18/2018,2018-08-18-CNI-232-01.IGC,ASH 31 MI,5:14:00,180340,231740,HOME,938,8805[8389],286,270,-16,"ASH31mi18's ENL monitor reports Engine Run 5 minutes, starts at T=180936 and: 3090 msl [2142 agl]; Height gain/loss is: 315
ASH31mi18's ENL monitor reports Engine Run 11 minutes, starts at T=223424 and: 1364 msl [849 agl]; Height gain/loss is: 2714
ASH31mi18 Motor noise registered by ENL sensor at t=['180344', '181508', '223420', '224540'] and [20, 2526, 873, 3445]AGL","180936,223424",,,"3090,1364",,,"2142.0,849.0",,,"180344,181508,223420,224540",,,"20.00,2526.00,873.00,3445.00",,,223424,Engine_Run_Start,ENL,1900-01-01 18:03:40,2018-08-18 22:29:24,2018-08-18 22:34:24,-0.86,Changing,False,7.334802001353826,Shrubs,,,,"300, 660","315, 2714",510.18,849.0,False,"2142.0,849.0",2018-08-18 22:34:24,1,50.0,"54.3,56.9","90.8,80.4","65.9,66.4","53.8,51.0","87.1,78.8","68.7,63.5",True,,,,"True,True",1,0,2,0
43,03/14/2020,03EGIQO1.IGC,SZD-56-3 DIANA-2 FES,4:07:39,170331,211110,HOME,144,5682[5603],44,-78,-122,"Diana2's ENL monitor reports Engine Run 1 minutes, starts at T=210805 and: 731 msl [577 agl]; Height gain/loss is: 122
Diana2 Motor noise registered by ENL sensor at t=['170332', '170345', '210805', '210936', '211051', '211107'] and [26, 53, 577, 729, 86, 86]AGL",210805,,,731,,,577.0,,,"170332,170345,210805,210936,211051,211107",,,"26.00,53.00,577.00,729.00,86.00,86.00",,,210805,Engine_Run_Start,ENL,1900-01-01 17:03:31,2020-03-14 21:03:05,2020-03-14 21:08:05,-0.89,Changing,False,5.558330022169933,"Closed Forest, Evergreen Needleleaf",,,,60,122,156.54,577.0,False,577.0,2020-03-14 21:08:05,1,100.0,47.1,61.6,52.5,46.2,80.0,67.2,True,,,,True,1,0,1,0
48,08/04/2024,2024-08-04-CNI-29F-01.IGC,AS 33ES,3:33:16,164835,202151,HOME,1712,5980[4872],522,505,-17,"as33's ENL monitor reports Engine Run 1 minutes, starts at T=165847 and: 3704 msl [2136 agl]; Height gain/loss is: 108
as33 Motor noise registered by ENL sensor at t=['165847', '170039'] and [2136, 2054]AGL",165847,,,3704,,,2136.0,,,"165847,170039",,,"2136.00,2054.00",,,165847,Engine_Run_Start,ENL,1900-01-01 16:48:35,2024-08-04 16:53:47,2024-08-04 16:58:47,0.07,Changing,True,5.4686949740998925,"Open Forest, Other",,,,60,108,1572.06,2136.0,True,2136.0,2024-08-04 16:58:47,0,0.0,48.9,65.3,57.1,47.3,70.7,60.2,True,,,,True,1,0,1,0
50,05/22/2014,2014-05-22-NKL-10R-01.IGC,DISCUS-2CT,2:06:56,174539,195235,HOME,803,6751[5876],245,278,33,"Discus2ct's ENL monitor reports Engine Run 4 minutes, starts at T=192935 and: 2417 msl [1151 agl]; Height gain/loss is: 712
Discus2ct Motor noise registered by ENL sensor at t=['174935', '175003', '192935', '193431'] and [456, 489, 1151, 1942]AGL",192935,,,2417,,,1151.0,,,"174935,175003,192935,193431",,,"456.00,489.00,1151.00,1942.00",,,192935,Engine_Run_Start,ENL,1900-01-01 17:45:39,2014-05-22 19:24:35,2014-05-22 19:29:35,-0.47,Changing,False,6.141103828340458,"Closed Forest, Deciduous Broadleaf",,,,240,712,1266.43,1151.0,True,1151.0,2014-05-22 19:29:35,0,0.0,77.3,90.3,85.5,55.0,87.1,80.4,True,,,,True,1,0,1,0
54,04/25/2013,2013-04-25-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),2:16:20,191426,213046,HOME,423,6256[5866],129,62,-67,"ASG29's ENL monitor reports Engine Run 2 minutes, starts at T=191818 and: 2089 msl [1617 agl]; Height gain/loss is: 391
ASG29 Motor noise registered by ENL sensor at t=['191814', '192054'] and [1532, 2011]AGL",191818,,,2089,,,1617.0,,,"191814,192054",,,"1532.00,2011.00",,,191818,Engine_Run_Start,ENL,1900-01-01 19:14:26,2013-04-25 19:13:18,2013-04-25 19:18:18,1.69,Changing,False,4.866050510927638,"Closed Forest, Other",,,,120,391,477.55,1617.0,True,1617.0,2013-04-25 19:18:18,0,0.0,50.3,61.6,55.9,48.5,76.4,61.4,False,,,,True,1,0,1,0
59,05/26/2016,2016-05-26-CNI-21L-01.IGC,VENTUS 2CT,2:02:48,173624,193912,HOME,803,7385[5925],245,214,-31,"VENTUS2CT's ENL monitor reports Engine Run 2 minutes, starts at T=193128 and: 1614 msl [827 agl]; Height gain/loss is: 548
VENTUS2CT Motor noise registered by ENL sensor at t=['193124', '193344'] and [768, 1365]AGL",193128,,,1614,,,827.0,,,"193124,193344",,,"768.00,1365.00",,,193128,Engine_Run_Start,ENL,1900-01-01 17:36:24,2016-05-26 19:26:28,2016-05-26 19:31:28,-1.03,Changing,False,5.733426457340437,Urban,,,,120,548,805.5,827.0,False,827.0,2016-05-26 19:31:28,1,100.0,65.3,72.4,68.8,47.7,94.9,77.5,True,,,,True,1,0,1,0
60,03/14/2018,2018-03-14-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),2:10:30,175918,200948,HOME,137,4520[4412],42,-15,-57,"ASG29's ENL monitor reports Engine Run 6 minutes, starts at T=193436 and: 767 msl [607 agl]; Height gain/loss is: 1250
ASG29 Motor noise registered by ENL sensor at t=['193436', '194044'] and [607, 1801]AGL",193436,,,767,,,607.0,,,"193436,194044",,,"607.00,1801.00",,,193436,Engine_Run_Start,ENL,1900-01-01 17:59:18,2018-03-14 19:29:36,2018-03-14 19:34:36,-0.84,Changing,False,4.673325732646688,Shrubs,,,,360,1250,139.47,607.0,False,607.0,2018-03-14 19:34:36,1,100.0,45.1,60.4,52.1,45.5,65.9,54.4,False,,,,True,1,0,1,0
61,03/15/2017,2017-03-15-CNI-22G-01.IGC,ASH 30 MI,1:15:12,180332,191844,HOME,134,3654[3461],41,-26,-67,"ASH30Mi's ENL monitor reports Engine Run 4 minutes, starts at T=180444 and: 515 msl [391 agl]; Height gain/loss is: 1647
ASH30Mi's ENL monitor reports Engine Run 2 minutes, starts at T=185048 and: 974 msl [837 agl]; Height gain/loss is: 1138
ASH30Mi's ENL monitor reports Engine Run 4 minutes, starts at T=190104 and: 984 msl [834 agl]; Height gain/loss is: 1135
ASH30Mi Motor noise registered by ENL sensor at t=['180336', '180932', '185048', '185336', '190100', '190524'] and [-6, 2025, 837, 1929, 836, 1969]AGL","180444,185048,190104",,,"515,974,984",,,"391.0,837.0,834.0",,,"180336,180932,185048,185336,190100,190524",,,"-6.00,2025.00,837.00,1929.00,836.00,1969.00",,,185048,Engine_Run_Start,ENL,1900-01-01 18:03:32,2017-03-15 18:45:48,2017-03-15 18:50:48,-1.01,Changing,False,6.36001158991502,Shrubs,,,,"240, 120, 240","1647, 1138, 1135",138.45,837.0,False,"391.0,837.0,834.0",2017-03-15 18:50:48,3,100.0,"55.4,57.9,60.7","67.4,66.9,71.0","61.9,61.7,65.0","51.7,60.4,56.9","67.8,70.4,69.8","61.5,64.2,63.5",True,,,,"True,True,True",1,0,3,0
