,File,Model,All_Min_TAS_knots,All_Max_TAS_knots,All_Avg_TAS_knots,All_Post_Run_Min_TAS_knots,All_Post_Run_Max_TAS_knots,All_Post_Run_Avg_TAS_knots,Circling_Segment_Found,Min_Speed_While_Engine_Running_knots,Max_Speed_While_Engine_Running_knots,Avg_Speed_While_Engine_Running_knots
0,2018-08-18-CNI-232-01.IGC,ASH 31 MI,"49.4,56.9","91.8,80.4","64.4,66.4","53.8,51.0","83.0,78.8","68.5,63.5",True,,,
1,2017-03-15-CNI-22G-01.IGC,ASH 30 MI,"53.7,57.9,60.7","67.4,66.9,71.0","61.1,61.7,65.0","52.9,60.4,56.9","67.8,70.4,69.8","62.1,64.2,63.4",True,,,
2,06CC4A41.IGC,Antares 20E,"53.7,69.1,78.2,56.5,74.5,65.6,67.8,59.7,72.2,45.4","72.3,73.0,81.2,63.0,82.2,68.9,70.4,81.5,75.9,74.8","64.9,70.5,80.1,60.2,78.7,67.1,68.2,73.8,74.1,67.9","56.7,66.4,55.6,55.6,53.5,54.1,59.4,54.9,61.9","66.1,82.6,82.9,82.2,71.1,72.6,81.4,81.1,93.7","60.7,73.9,70.6,68.0,63.1,66.2,64.5,75.4,75.1",False,,,
3,2021-04-18-CNI-21D-01.IGC,DG-808 C,"46.6,48.8","60.6,56.6","52.6,52.7","46.2,47.2","61.2,70.7","54.8,59.1",True,,,
4,2016-03-16-CNI-22G-01.IGC,ASH 30 MI,"47.6,51.7","68.3,76.0","57.6,60.8","45.8,46.6","71.6,94.8","60.7,75.7",True,,,
5,04NC4A41.IGC,Antares 20E,55.0,73.2,64.1,"47.8,60.8","89.4,92.0","68.0,71.3",True,,,
6,04LC4A41.IGC,Antares 20E,"76.9,49.2","89.2,79.8","84.6,66.6",52.0,86.8,70.6,True,,,
7,2017-03-17-CNI-22G-01.IGC,ASH 30 MI,"55.1,58.4,57.4,55.9","72.1,71.2,65.6,67.4","62.7,64.9,61.7,60.8","54.4,57.0,48.8,56.5","78.0,71.3,67.4,77.0","63.7,62.0,59.3,70.9",True,,,
8,2015-06-06-CNI-V8R-01.IGC,DG-400,"45.7,45.0","50.1,75.9","47.4,52.5","46.0,47.6","61.5,67.0","54.2,62.3",False,"30.24,43.20","50.76,68.03","45.38,52.29"
9,2021-06-15-LXV-780-01.IGC,ASH 31 MI,"48.5,47.1","65.2,73.5","55.6,66.4","50.0,47.3","68.1,76.6","60.0,61.0",True,"54.62,42.84","88.86,82.37","71.63,63.34"
10,2018-03-13-NKL-0TK-01.IGC,ASH25M,"48.6,47.2","60.5,53.0","54.5,49.3","46.8,48.0","57.3,61.0","51.3,55.6",False,,,
11,2024-06-24-CNI-27D-01.IGC,ASH 31 MI,"45.5,75.5","89.1,93.3","73.4,80.7","45.0,75.5","93.6,94.4","69.9,87.7",True,,,
12,2014-08-04-NKL-10X-01.IGC,ARCUS M,"62.2,52.1,56.8","94.8,89.4,91.4","78.8,69.5,72.9","45.0,46.6,61.7","92.8,94.4,94.5","62.1,67.8,78.3",True,,,
13,2018-06-17-CNI-20B-01.IGC,ARCUS M,"45.6,45.7","87.4,81.7","60.0,60.3","45.7,49.4","81.7,82.8","62.0,68.3",False,,,
14,2015-06-05-CNI-21D-01.IGC,DG-808 C,"52.7,72.3,54.7,80.3,57.1,54.7,86.1,53.0,53.6,53.6,62.8,51.9,55.5,53.5,56.1,56.6,54.0,68.5,69.1","89.9,92.9,57.5,89.9,86.9,93.2,90.8,78.5,80.6,78.0,78.8,92.0,91.6,60.5,93.1,86.5,73.7,94.9,94.3","65.6,84.6,56.5,84.2,71.8,75.3,88.5,67.0,64.3,64.5,69.9,69.7,75.2,56.2,74.2,72.8,59.3,86.1,85.6","48.5,48.5,50.4,54.5,52.2,49.7,49.7,48.4,46.7,53.0,49.5,50.9,52.6,52.6,68.2,49.9,49.9,80.3,49.5","93.5,93.4,89.9,87.9,93.2,93.5,93.5,66.3,78.0,78.8,66.0,83.1,82.2,93.1,86.5,84.5,84.5,93.8,66.7","70.9,67.9,77.3,70.0,74.1,79.0,68.1,57.0,64.9,64.2,55.5,66.9,60.7,71.2,79.9,63.4,68.5,87.7,59.8",False,,,
15,2015-05-16-CNI-214-01.IGC,Taurus,"45.5,80.4","90.9,90.1","71.5,84.7","45.7,45.4,48.1,48.3","79.9,77.9,78.0,82.1","67.0,58.5,66.9,71.7",True,,,
16,2019-10-11-LXV-2RN-01.IGC,ASH 26 E,"52.7,65.1","76.0,94.9","65.7,82.1","45.1,45.1","79.4,90.5","69.3,79.7",True,,,
17,2014-08-06-NKL-0TV-01.IGC,DG-808 C,"54.0,91.1","93.9,94.8","84.5,93.7",45.0,95.0,74.9,True,,,
18,2021-09-24-CNI-23Y-01.IGC,ASH 31 MI,"45.6,56.9","62.3,65.7","53.3,63.3","45.5,47.0","67.2,79.7","56.4,64.9",True,,,
19,2015-05-20-CNI-214-02.IGC,Taurus,"59.4,67.6","78.1,75.1","70.9,71.7","45.9,45.1","60.6,57.4","55.6,52.8",True,,,
20,23IGBCA1.IGC,ASH 26 E,"50.4,75.0","89.2,90.5","68.6,79.3","56.8,56.2","90.5,75.0","76.9,64.1",True,,,
21,2017-08-05-CNI-255-01.IGC,VENTUS 2CXM,"82.7,76.7","91.9,94.5","87.7,82.9","78.3,50.3","94.1,88.8","83.4,79.4",True,,,
22,2016-05-25-CNI-214-01.IGC,Taurus,"47.8,52.6,45.0","68.7,69.6,54.7","53.3,59.5,50.4","45.4,48.5,46.1","73.7,82.3,73.4","60.2,64.7,61.9",True,,,
23,183G8KM1.IGC,DG-400,"45.8,49.4","55.9,63.5","51.0,53.8","45.1,47.0","68.3,74.5","55.2,62.5",True,,,
24,2013-08-03-NKL-12K-01.IGC,DG-808 C,"45.7,46.0","56.2,59.2","50.7,50.8","45.2,48.7","71.4,80.8","59.0,58.0",False,,,
25,2017-03-16-CNI-22G-01.IGC,ASH 30 MI,"50.8,54.8,55.4","66.9,69.8,75.3","59.5,64.0,64.8","45.2,51.7,63.9","69.7,65.9,79.5","57.7,57.7,74.4",True,,,
26,14KGA531.IGC,ASH 31 MI,"46.9,48.1","94.1,93.2","77.0,65.4","48.1,45.7","90.8,92.6","72.8,62.9",True,,,
27,2015-10-16-CNI-214-01.IGC,Taurus,"62.3,66.6","92.0,90.0","74.3,74.8","46.2,66.3","76.5,89.1","65.5,77.6",True,,,
28,068C4A41.IGC,Antares 20E,"65.8,59.0,67.0,74.9,66.3,70.6,67.8,73.1,68.5,67.8,70.6,60.0","71.6,70.5,70.4,78.3,72.1,72.7,69.0,75.4,72.5,73.0,73.9,75.7","69.4,62.5,68.0,77.3,69.8,71.6,68.7,74.1,71.4,70.4,71.6,70.6","57.1,54.5,61.0,58.5,57.7,52.5,52.5,55.0,55.0,54.9,52.3","78.1,65.2,76.1,72.3,73.9,71.0,72.8,72.5,74.8,74.8,82.6","65.8,58.9,70.3,68.2,64.8,64.9,61.9,63.2,64.5,68.0,65.3",False,,,
29,2021-07-18-LXV-780-02.IGC,ASH 31 MI,"51.3,46.1","94.7,90.9","70.2,72.0","52.1,47.3","92.9,90.3","68.2,70.0",True,"59.53,45.02","89.02,87.93","72.80,75.24"
30,2013-08-02-NKL-12K-01.IGC,DG-808 C,"45.7,46.1,49.5","52.9,60.7,54.3","49.4,54.1,52.2","48.0,45.0,50.6","68.9,73.2,73.9","57.9,55.1,65.8",False,,,
