,File,Model,All_Min_TAS_knots,All_Max_TAS_knots,All_Avg_TAS_knots,All_Post_Run_Min_TAS_knots,All_Post_Run_Max_TAS_knots,All_Post_Run_Avg_TAS_knots,Circling_Segment_Found,Min_Speed_While_Engine_Running_knots,Max_Speed_While_Engine_Running_knots,Avg_Speed_While_Engine_Running_knots
0,2020-08-18-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),45.4,94.9,69.3,45.4,81.7,65.1,True,,,
1,46RGJUM1.IGC,VENTUS 3F,45.0,91.7,54.6,45.4,94.3,78.7,True,,,
2,2018-06-29-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),53.0,79.8,58.6,45.8,70.0,57.5,True,,,
3,2018-06-09-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),"47.8,45.6","72.8,83.5","57.6,62.6","45.6,45.0","71.6,73.8","59.1,60.6",False,,,
4,2023-06-04-LXV-NBR-01.IGC,VENTUS 3F,45.0,94.3,57.0,46.9,94.9,80.7,True,63.16,83.13,73.52
5,03EGIQO1.IGC,SZD-56-3 DIANA-2 FES,47.1,61.6,52.5,46.2,80.0,67.2,True,,,
6,2024-08-04-CNI-29F-01.IGC,AS 33ES,48.9,65.3,57.1,47.3,70.7,60.2,True,,,
7,2014-05-22-NKL-10R-01.IGC,DISCUS-2CT,77.3,90.3,85.5,55.0,87.1,80.4,True,,,
8,2013-04-25-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),50.3,61.6,56.3,48.5,76.4,61.3,False,,,
9,2016-05-26-CNI-21L-01.IGC,VENTUS 2CT,60.6,72.4,68.5,48.2,94.9,77.7,True,,,
10,2018-03-14-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),45.1,60.4,52.1,45.5,65.9,54.4,False,,,
11,2017-06-27-CNI-23P-01.IGC,LAK-17AT,67.0,83.4,72.8,66.7,94.9,79.1,True,,,
12,2015-10-12-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),45.0,69.4,51.4,45.1,71.6,58.3,True,,,
13,2024-06-17-CNI-27Z-01.IGC,AS 33ES,45.8,91.6,78.4,46.9,92.8,74.5,True,,,
14,2020-03-13-CNI-27G-01.IGC,VENTUS 3F,60.0,74.0,64.9,45.0,73.3,65.4,False,,,
15,2017-08-10-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),62.1,75.1,69.5,52.5,95.0,80.6,False,,,
16,2019-04-24-CNI-22A-01.IGC,VENTUS 3F,"75.5,87.9","94.6,94.6","89.1,91.4","84.9,90.9","94.6,94.6","90.0,92.6",True,,,
17,2021-06-28-CNI-27Z-01.IGC,AS 33ES,50.5,60.7,56.1,48.6,94.9,76.4,True,,,
18,03FGIQO1.IGC,SZD-56-3 DIANA-2 FES,67.8,80.0,76.0,45.5,83.8,66.0,True,,,
19,2019-07-16-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),65.0,92.2,77.2,46.1,94.7,82.2,True,,,
20,2017-09-23-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),46.8,67.9,55.3,51.7,94.9,81.7,False,,,
21,2024-04-26-LXV-NBR-01.IGC,VENTUS 3F,53.1,64.3,59.2,45.6,74.8,63.2,True,51.80,72.70,65.04
22,2022-07-17-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),47.6,64.6,56.3,50.2,89.5,70.9,False,,,
23,2019-05-07-CNI-27G-01.IGC,VENTUS 3F,"50.9,50.7","57.8,53.8","53.2,52.4","46.0,47.9","62.6,75.7","54.4,60.7",True,,,
24,2021-06-05-FLA-JUM-01.IGC,VENTUS 3F,,,,45.1,88.8,69.9,True,,,
25,2013-06-24-NKL-0T9-01.IGC,ASW 27-18 E (ASG-29E),"64.6,63.5,61.5,65.4,68.4,70.8,74.1,72.0,70.4,64.4,68.9,66.4,61.5","76.0,78.1,68.2,88.5,77.7,83.0,83.2,86.9,88.4,78.8,84.2,81.6,83.4","71.5,70.8,64.2,76.0,73.3,78.7,78.0,78.7,76.4,72.2,77.1,74.9,72.8","62.4,65.3,59.0,67.3,70.2,70.9,70.4,89.6,89.5,64.5,66.4,66.3,61.5","94.2,86.3,85.4,80.2,94.9,94.9,88.5,94.6,94.9,94.9,92.5,94.8,83.5","73.8,73.6,73.3,73.6,79.3,81.7,80.6,91.7,91.5,77.3,78.8,79.9,72.7",False,,,
26,2016-04-18-CNI-21L-01.IGC,VENTUS 2CT,60.3,88.4,66.4,57.0,83.6,73.4,True,,,
27,2019-07-19-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),69.9,94.1,80.6,46.6,80.4,67.8,True,,,
28,2011-08-06-NKL-0Z0-01.IGC,ASW 27-18 E (ASG-29E),"54.4,59.0,62.4,52.7,61.3,63.5,66.4","79.9,66.1,76.7,65.0,79.2,75.6,78.1","64.8,61.8,68.8,60.6,69.9,68.8,72.9","53.6,56.0,51.8,54.0,63.5,57.3,51.5","70.3,76.7,92.0,85.8,85.8,93.5,81.3","61.5,66.4,72.2,71.6,75.5,71.0,65.4",True,,,
29,2017-08-03-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),53.6,76.0,61.1,53.1,90.5,80.9,True,,,
30,2019-04-24-CNI-27G-01.IGC,VENTUS 3F,45.2,46.2,45.9,45.1,66.0,54.2,False,,,
31,2018-03-11-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),45.9,55.8,49.4,46.7,70.7,60.3,True,,,
32,2019-06-17-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),45.0,76.9,55.2,45.2,79.6,61.1,True,,,
33,2022-03-13-CNI-27G-01.IGC,VENTUS 3F,"52.7,64.5,60.0","63.7,77.7,76.9","57.9,70.9,72.8","49.8,45.1,59.5","77.7,85.7,71.0","68.8,72.3,64.3",True,,,
34,2018-04-19-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),76.6,93.8,82.0,46.0,94.8,79.6,False,,,
35,2016-04-19-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),48.5,62.9,52.7,69.3,78.6,75.3,False,,,
36,05JE6AB1.IGC,DUO DISCUS T,58.2,62.9,60.4,47.0,88.9,64.4,True,,,
37,2012-10-13-NKL-10R-01.IGC,DISCUS-2CT,57.4,67.8,62.3,48.3,66.0,58.1,True,,,
38,05JC3KG1.IGC,VENTUS CT,"48.2,46.9,52.5,49.2,47.8","82.0,83.0,80.0,83.6,87.5","73.0,70.1,72.4,72.8,75.8","49.9,46.4,45.5,45.1,47.5","91.0,94.1,94.5,89.4,83.7","72.2,66.5,74.0,69.9,66.3",True,,,
39,2018-06-14-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),63.6,87.5,79.8,66.2,93.2,83.9,False,,,
40,2017-07-31-NKL-0T9-01.IGC,ASW 27-18 E (ASG-29E),"58.3,61.8,60.8,56.2,74.7","75.6,76.8,69.0,65.8,89.1","67.3,70.1,65.7,61.8,85.5","57.6,61.6,51.5,51.5,63.9","76.8,89.6,89.5,89.4,88.6","68.9,78.2,69.5,81.0,78.2",True,,,
41,2019-04-21-FLA-JUM-01.IGC,VENTUS 3F,45.9,85.4,70.3,45.3,87.1,70.3,True,,,
42,2017-08-03-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),45.8,74.6,50.8,46.8,87.5,71.2,False,,,
43,2019-03-08-LXV-1KO-01.IGC,VENTUS 3F,46.0,78.8,65.5,45.1,92.3,74.9,True,,,
44,2019-05-21-CNI-28S-01.IGC,ASW 27-18 E (ASG-29E),45.6,69.8,58.6,46.8,92.1,79.0,True,,,
45,2024-04-27-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),49.7,68.7,54.9,45.2,60.3,52.3,True,,,
46,2016-05-11-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),45.8,94.2,57.9,50.2,84.9,71.5,True,,,
47,2015-06-28-CNI-20O-01.IGC,ASW 27-18 E (ASG-29E),"77.2,45.0","94.7,94.9","87.9,66.0",51.3,53.5,53.4,True,,,
48,2015-06-25-NKL-0Z0-01.IGC,ASW 27-18 E (ASG-29E),"53.6,48.5","59.8,59.5","56.3,54.5","48.1,46.9","62.7,86.8","54.8,59.7",False,,,
49,2014-04-26-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),47.8,60.6,53.6,45.0,93.7,61.4,True,,,
50,566C4OO6.IGC,DISCUS-2CT,45.2,72.4,53.3,47.1,67.3,56.7,False,,,
51,2018-06-26-LXV-1OZ-01.IGC,LAK-17AT,47.0,93.7,64.5,"45.0,45.1","81.4,91.6","57.3,55.5",True,,,
52,2023-08-20-CNI-295-01.IGC,ASW-24E,60.1,69.6,63.9,45.5,63.3,54.6,True,,,
53,2013-05-17-NKL-10R-01.IGC,DISCUS-2CT,"62.5,56.7","76.4,72.5","69.1,64.0","55.9,50.9","64.2,93.8","59.6,70.8",True,,,
54,43PGDEB1.IGC,DUO DISCUS T,45.1,60.9,53.9,"45.6,45.6","94.7,83.6","78.7,61.2",True,,,
55,2012-05-18-NKL-10R-01.IGC,DISCUS-2CT,66.2,81.1,77.8,48.8,72.7,60.7,True,,,
56,2015-07-01-NKL-0Z0-01.IGC,ASW 27-18 E (ASG-29E),"62.1,63.0","71.2,76.6","65.7,68.7","63.0,60.9","91.2,94.6","70.5,79.1",False,,,
57,2015-04-23-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),55.5,58.9,57.2,45.2,63.5,54.4,True,,,
58,2024-06-07-CNI-29F-01.IGC,AS 33ES,"77.1,71.1","88.3,77.5","80.6,73.3","46.9,47.2","94.9,90.3","76.4,72.4",True,,,
59,2023-05-21-CNI-295-01.IGC,ASW-24E,"47.8,45.1,56.2,45.1","73.5,73.5,68.7,63.4","59.4,58.1,63.1,52.4","45.1,45.1,45.1,48.2","73.5,70.6,64.7,64.7","57.4,57.1,53.8,59.1",False,,,
60,2016-04-19-CNI-21U-01.IGC,ASW 27-18 E (ASG-29E),"45.1,45.3,46.2,45.1,45.3","81.0,87.3,87.9,89.6,80.2","61.7,70.7,74.3,71.6,61.2","51.7,46.0,46.3,48.2","83.9,84.5,52.5,93.8","76.5,61.0,47.8,69.3",False,,,
61,2017-08-09-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),53.1,59.0,55.8,48.1,85.6,72.0,False,,,
62,2018-05-15-CNI-27P-01.IGC,DISCUS-2CT,45.2,72.5,51.9,47.7,92.1,77.3,False,,,
63,2014-05-17-NKL-10R-01.IGC,DISCUS-2CT,63.6,82.5,72.9,47.3,71.1,58.8,True,,,
64,99FGJUM1.IGC,VENTUS 3F,51.6,74.1,67.6,46.2,80.0,59.0,True,,,
65,17UGAA51.IGC,VENTUS 3F,45.1,63.2,55.0,45.0,68.6,55.9,True,,,
66,2019-04-21-LXV-7R1-01.IGC,ASW 27-18 E (ASG-29E),50.5,57.6,53.1,47.1,77.4,64.4,True,58.74,75.09,67.72
67,2019-10-09-CNI-28S-01.IGC,ASW 27-18 E (ASG-29E),58.6,72.1,63.6,45.3,67.2,61.3,True,,,
68,2021-06-10-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),60.3,72.6,64.9,45.8,83.6,60.1,True,,,
69,2023-05-25-CNI-295-01.IGC,ASW-24E,47.7,59.4,54.6,45.2,84.1,64.4,True,,,
70,2014-04-22-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),45.0,67.3,49.6,46.7,91.4,75.6,False,,,
71,46HG1531.IGC,AS 33ES,,,,45.3,94.7,71.0,True,,,
72,2016-09-23-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),"54.9,54.8","63.3,61.8","59.4,56.5","55.6,48.2","64.4,72.7","60.0,61.8",False,,,
73,13CGIQO1.IGC,SZD-56-3 DIANA-2 FES,51.1,64.4,57.9,51.1,81.7,70.2,True,,,
